algorithm,bitstring,count,observed_probability,ideal_probability,probability_error,score,qubo_energy,feasible,optimal
standard_qaoa,00000000,3,0.0029296875,0.003129899907623874,-0.00020021240762387385,0.0,86.4,False,False
standard_qaoa,00000001,1,0.0009765625,0.000510755112841709,0.00046580738715829104,0.85,56.75,False,False
standard_qaoa,00000010,0,0.0,0.0016296035116747742,-0.0016296035116747742,0.3,57.3,False,False
standard_qaoa,00000011,2,0.001953125,0.0010673124574651003,0.0008858125425348997,1.15,42.050000000000004,False,False
standard_qaoa,00000100,2,0.001953125,0.001336974409200606,0.000616150590799394,0.4,57.2,False,False
standard_qaoa,00000101,3,0.0029296875,0.0013476691238615479,0.0015820183761384521,1.25,41.95,False,False
standard_qaoa,00000110,2,0.001953125,0.00036439094688748945,0.0015887340531125105,0.7,28.1,False,False
standard_qaoa,00000111,2,0.001953125,0.00155010312192508,0.00040302187807492,1.55,27.25,False,False
standard_qaoa,00001000,1,0.0009765625,0.0005664879695566411,0.0004100745304433589,0.9,56.7,False,False
standard_qaoa,00001001,0,0.0,9.192641726987717e-05,-9.192641726987717e-05,1.75,27.05,False,False
standard_qaoa,00001010,2,0.001953125,0.0009411542896632437,0.0010119707103367563,1.2,42.0,False,False
standard_qaoa,00001011,2,0.001953125,0.00048467076752742007,0.00146845423247258,2.05,26.75,False,False
standard_qaoa,00001100,0,0.0,0.0010668040669079193,-0.0010668040669079193,1.3,41.9,False,False
standard_qaoa,00001101,3,0.0029296875,0.000827597313449085,0.002102090186550915,2.15,26.650000000000002,False,False
standard_qaoa,00001110,2,0.001953125,0.0010636062668921708,0.0008895187331078292,1.6,27.2,False,False
standard_qaoa,00001111,2,0.001953125,0.0018031121622848543,0.00015001283771514566,2.45,26.35,False,False
standard_qaoa,00010000,0,0.0,0.000735128100498692,-0.000735128100498692,0.7,56.900000000000006,False,False
standard_qaoa,00010001,5,0.0048828125,0.0015265329726932692,0.0033562795273067306,1.5499999999999998,41.650000000000006,False,False
standard_qaoa,00010010,0,0.0,0.00017706162592878743,-0.00017706162592878743,1.0,27.8,False,False
standard_qaoa,00010011,0,0.0,0.0016565933370188397,-0.0016565933370188397,1.8499999999999999,26.95,False,False
standard_qaoa,00010100,3,0.0029296875,0.0013201724133194777,0.0016095150866805223,1.1,42.1,False,False
standard_qaoa,00010101,5,0.0048828125,0.005146885129515816,-0.00026407262951581596,1.9500000000000002,41.25,False,False
